film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
The Caine Mutiny,1954,1954,124,7.7,26649,6eae2bc6-40f4-44f8-85c6-a11f363726cf
The Country Girl,1954,1954,104,7.3,5766,27b1c21b-9ec8-4270-84a1-ff91400e2b2e
Seven Brides for Seven Brothers,1954,1954,102,7.4,23448,96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
Three Coins in the Fountain,1954,1954,102,6.3,3276,2ebbefba-fb33-47ed-97bb-2b22c85606db
Marty,1955,1955,90,7.7,22916,0e335b5a-ed13-4c51-8028-d489d57a1e75
Love Is a Many-Splendored Thing,1955,1955,102,6.5,4688,2bd69ac3-6b2e-4132-b1b0-0f073a1c75e9
Mister Roberts,1955,1955,123,7.7,16057,eab1a500-de95-4cf8-a44e-314760de571d
Picnic,1955,1955,115,7.1,8425,d9576b2a-0b16-4c95-b574-4ea6cd782260
The Rose Tattoo,1955,1955,117,7.0,3763,a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
Around the World in 80 Days,1956,1956,175,6.8,26019,a0ddcb59-a173-4ffb-9139-3a1a71d006aa
Friendly Persuasion,1956,1956,137,7.4,6784,bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
Giant,1956,1956,201,7.6,36951,c77c1d53-c9ea-400d-ad82-7e740e7f1e29
The King and I,1956,1956,133,7.4,24685,05914cd6-60ae-4836-bdc7-1e6ec4b1eb8c
The Ten Commandments,1956,1956,220,7.9,66969,7f920258-daa7-4df8-84f1-2f41ddb99b9d
The Bridge on the River Kwai,1957,1957,161,8.1,210558,fc627090-b4c0-418b-8437-94b0f41d9bba
12 Angry Men,1957,1957,96,9.0,725938,4b3c9249-b991-4a5a-b35d-bf98e217e2bf
Peyton Place,1957,1957,157,7.2,5707,548cd53c-e455-4fe0-b10b-64d59cadc17b
Sayonara,1957,1957,147,7.1,6473,76b1d406-1398-4917-9007-23484d207a8d
Witness for the Prosecution,1957,1957,116,8.4,115545,db810dc3-c8f5-40be-b525-a77898135ad4
Gigi,1958,1958,115,6.7,21807,7d5a1db5-c60e-458c-9f9e-4ce599f4118a
Auntie Mame,1958,1958,143,7.9,10825,ed3ebe9b-ba2b-4a93-bd71-369b04396fab
Cat on a Hot Tin Roof,1958,1958,108,8.0,47222,466621aa-287c-4316-9083-74a5fc72a4f6
The Defiant Ones,1958,1958,96,7.6,14358,45435847-81e6-44f8-891d-59ac0e5bb985
Separate Tables,1958,1958,100,7.4,7248,a19cbb5a-db41-4119-a8ed-c805948873a8
Ben-Hur,1959,1959,212,8.1,227894,0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
Anatomy of a Murder,1959,1959,161,8.0,62835,326c4a14-173e-40e2-a943-bc8e7f61128c
The Diary of Anne Frank,1959,1959,180,7.4,12413,77f80298-293e-4bd3-a071-394c8136600d
The Nuns Story,1959,1959,149,7.6,9968,acc60dd6-f542-493e-9900-2174bd8cf1b2
Room at the Top,1959,1959,115,7.5,5746,53007b62-3d97-4d58-b381-10747520cb22
The Apartment,1960,1960,125,8.3,171390,bec485c9-8736-4ec5-8275-478478dc1d20
The Alamo,1960,1960,162,6.8,15189,547529c6-55ca-4007-be9d-d064b271c15e
Elmer Gantry,1960,1960,146,7.8,11043,06cb872f-b533-437b-a0ce-89cd08b8c6f6
Sons and Lovers,1960,1960,103,7.1,1506,2f559ba8-3cce-4cdd-a404-fa99f01eb249
The Sundowners,1960,1960,133,7.1,4031,f7881b5a-0ca8-44df-aef1-7428f3a703e0
West Side Story,1961,1961,153,7.5,101270,ef8f5e5d-f603-44ab-b358-091f26b0da7b
Fanny,1961,1961,134,6.9,2121,c25b2d36-9391-4279-8a8f-edc0e68d3a41
The Guns of Navarone,1961,1961,158,7.5,47296,ea4834bd-a58a-44a0-b796-7e54e3422e90
The Hustler,1961,1961,134,8.0,78871,0d5ee029-1350-4625-b906-afc878129ecf
Judgment at Nuremberg,1961,1961,179,8.2,73363,4de772d6-c839-490e-9e4a-365b48c6570a
Lawrence of Arabia,1962,1962,228,8.3,278596,77641adf-a5dc-4475-9e3b-dd61c4e32951
The Longest Day,1962,1962,178,7.8,53759,4f1a7a69-6434-477c-9124-2341c633a8a8
The Music Man,1962,1962,151,7.7,16665,1a4cbf83-c2d2-4bad-91c5-83aaac03ed16
Mutiny on the Bounty,1962,1962,178,7.2,15634,8d5317bd-df12-4f24-b34d-e5047ef4665e
To Kill a Mockingbird,1962,1962,129,8.3,303387,63ebac97-3aa2-4dd3-8d53-3e8476873668
Tom Jones,1963,1963,129,6.5,12448,e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
America America,1963,1963,174,7.8,5215,7b22a71b-6b22-4b6c-a7ee-4f3a9bc6a3f6
Cleopatra,1963,1963,192,7.0,31027,47a31f2d-67c9-4aa1-a336-6f30e4dc6c57
How the West Was Won,1963,1962,164,7.1,19741,418250a9-d63e-41d1-8e48-8a5190ab57f1
Lilies of the Field,1963,1963,94,7.6,9751,cec49f67-0474-42fe-bb36-d75224995e60
My Fair Lady,1964,1964,170,7.8,90361,c3a074a7-658b-4a79-a049-eb30cdf3de0e
Becket,1964,1964,148,7.8,14231,5a35a08e-eafc-46f1-add2-8413867d1bcb
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964,95,8.4,466261,cd6d6c18-61aa-4e9a-bdec-0dcb2d749dde
Mary Poppins,1964,1964,139,7.8,163118,ef2ab197-e570-481a-8a5c-ecc33bbc59ce
Zorba the Greek,1964,1964,142,7.7,21591,91ff3fae-0b8f-495f-bcad-355504e26ba5
The Sound of Music,1965,1965,172,8.0,215374,457971a1-ae06-42ce-9ddd-17e9be9b32af
Darling,1965,1965,128,7.1,6468,39e6d744-7f92-4cbf-9300-55a43bf7a5e3
Doctor Zhivago,1965,1965,197,8.0,72548,cb1ae708-873b-4b2e-b0ea-57967782d566
Ship of Fools,1965,1965,149,7.1,5725,85e8bfd9-99a2-40a6-b331-a333fa851c36
